**Summary**

Anna Karenina, the beautiful and passionate wife of the high‑ranking Petersburg official Alexey Alexandrovitch Karenin, falls in love with the dashing cavalry officer Count Vronsky. Trapped in a loveless marriage and constrained by the rigid social codes of 1870s Russian aristocracy, Anna abandons her husband and her young son Seryozha to live openly with Vronsky. Initially ecstatic, Anna grows increasingly jealous and isolated as society shuns her and Vronsky’s ardor cools. In parallel, Konstantin Levin, a socially awkward landowner, marries Princess Kitty Shtcherbatskaya after surviving romantic disappointment. Levin struggles with faith, modernity, and the meaning of life, eventually finding spiritual peace. Anna, consumed by paranoia and despair, commits suicide by throwing herself under a train. Vronsky, devastated, volunteers for the war in Servia. Karenin raises Seryozha and Anna’s infant daughter. Levin, having discovered faith through lived experience rather than doctrine, finds joy in his family and daily labor.

---

**Author**

**Leo Tolstoy** (1828–1910) was a Russian novelist, philosopher, and moral thinker, universally regarded as one of the greatest writers in world literature. Born into an old aristocratic family at Yasnaya Polyana, he served as an artillery officer in the Crimean War before embarking on a literary career. His early masterpieces, *War and Peace* (1869) and *Anna Karenina* (1877), established his reputation for unparalleled psychological realism, epic scope, and deep moral seriousness. After completing *Anna Karenina*, Tolstoy underwent a profound spiritual crisis that led him to reject organized religion, private property, and his own earlier works in favor of a radical Christian anarchism. His later writings, including *The Death of Ivan Ilyich* (1886) and *Resurrection* (1899), reflect these beliefs. Tolstoy’s influence on twentieth‑century literature, from James Joyce to Virginia Woolf to Thomas Mann, is immeasurable.

---

**Importance**

*Anna Karenina* is widely considered one of the greatest novels ever written. It is the apotheosis of literary realism—a novel that balances intimate psychological portraiture with sweeping social critique, following multiple characters with symphonic coherence. Its opening sentence (“Happy families are all alike; every unhappy family is unhappy in its own way”) has become proverbial. The novel has inspired countless adaptations, including ballets, operas, films, and television series, and its central character remains one of literature’s most complex, sympathetic, and tragic heroines.

---

**Themes**

- Adultery, jealousy, and the destructive power of passion
- The hypocritical moral codes of aristocratic society
- The tension between individual desire and social obligation
- Family happiness (the Oblonskys, the Levins) versus family destruction (the Karenins)
- Faith, doubt, and the search for life’s meaning
- The contrast between city (artificial, corrupt) and country (authentic, life‑giving)
- Modernity, railroads, industrialization, and their discontents
- Forgiveness, both Christian and human
- Death and the fear of death

---

**Message**

Tolstoy presents no simple moral lesson. Anna is not merely punished for adultery—she is destroyed by a society that tolerates the same infidelity in men (Stiva, Vronsky) but condemns women who transgress. Karenin’s initial Christian forgiveness is portrayed as admirable, yet it fails to save Anna or restore their marriage. Levin’s spiritual journey, culminating not in a creed but in a lived sense of goodness, suggests that meaning comes not from abstract philosophy but from loving others and working the land. The novel ultimately affirms that happiness lies not in romantic passion (which burns out) but in family, labor, and an acceptance of life’s mystery. Yet Anna’s tragedy remains fully tragic: she is not a villain but a woman who wanted to live fully, and was crushed for it.

---

## Phases

The following eight phases correspond exactly to the eight parts of the novel as they appear in the attached text. Each phase is a coherent narrative block with its own rising action and resolution.

| Phase | Title | Chapters | Brief Description |
|-------|-------|----------|-------------------|
| **Phase 1** | The Oblonsky Crisis and Anna’s Arrival | Part 1, Ch 1–34 | Introduces the Oblonsky household in chaos after Stiva’s infidelity. Levin arrives in Moscow, proposes to Kitty, and is refused. Vronsky enters. Anna arrives from Petersburg to reconcile Stiva and Dolly. At a ball, Kitty is humiliated when Vronsky dances with Anna. Anna returns to Petersburg, followed by Vronsky. The phase ends with Anna and Vronsky becoming lovers and Anna’s growing revulsion toward her husband. |
| **Phase 2** | Kitty’s Illness and Levin’s Rural Life | Part 2, Ch 1–35 | Kitty falls ill after her humiliation; the Shtcherbatskys go abroad. Levin returns to his estate, throws himself into farming and the spring. He visits his dying brother Nikolay. Meanwhile, Vronsky’s life in Petersburg continues; he enters a horse race. Anna watches, becomes distraught when Vronsky falls, and confesses her love to Karenin. Anna becomes pregnant. The phase ends with Karenin’s internal struggle and Vronsky’s attempted suicide after Karenin’s forgiveness. |
| **Phase 3** | Levin’s Farming and Spiritual Struggles | Part 3, Ch 1–32 | Levin works on his estate and his book on agriculture. He struggles with the meaning of life and his relationship with the peasants. He receives news that Kitty is abroad. He visits his brother Nikolay again, who is dying. The phase focuses on Levin’s inner development and his gradual recovery from romantic disappointment. |
| **Phase 4** | Confession, Forgiveness, and New Beginnings | Part 4, Ch 1–23 | Anna confesses her affair to Karenin. She falls deathly ill after childbirth; Karenin forgives her and Vronsky. Vronsky, humiliated, attempts suicide. Anna recovers but cannot bear Karenin’s forgiveness. Meanwhile, Levin and Kitty reconcile and marry. The phase contains a double resolution: Anna is forgiven but unchanged; Levin finds happiness. |
| **Phase 5** | Marriage and Life Abroad | Part 5, Ch 1–33 | Levin and Kitty marry and struggle through the difficult early months of marriage. Kitty discovers she is pregnant. Anna and Vronsky travel abroad (Italy, then a German town), then return to Russia. Anna is ostracized by society and unable to see her son Seryozha. The phase deepens the contrast between Levin’s domestic joy and Anna’s increasing isolation. |
| **Phase 6** | Country Life and Growing Tension | Part 6, Ch 1–32 | The Levins spend the summer at Pokrovskoe with Kitty’s family and friends. Dolly visits Anna and Vronsky at Vozdvizhenskoe. Anna’s jealousy of Vronsky intensifies. Levin becomes jealous of a visitor, Veslovsky, but reconciles with Kitty. Anna writes to Karenin asking for a divorce. The phase ends with Anna and Vronsky moving to Moscow. |
| **Phase 7** | The Breakdown and Suicide | Part 7, Ch 1–31 | The Levins are in Moscow for Kitty’s confinement. Levin’s spiritual crisis deepens. Kitty gives birth to a son, Dmitri, but Levin feels no expected joy—only terror and pity. Anna and Vronsky’s relationship deteriorates into daily quarrels. After a final fight, Anna commits suicide by throwing herself under a train. The phase contains the novel’s climax and emotional nadir. |
| **Phase 8** | Aftermath and Levin’s Faith | Part 8, Ch 1–19 | The aftermath of Anna’s death: Vronsky, devastated, volunteers for the war in Servia. Karenin takes custody of Anna’s infant daughter. Levin, still tormented by thoughts of death and meaning, overhears a peasant’s simple faith—“to live for God, for the soul”—and experiences a sudden spiritual awakening. He remains a believer in life, not in doctrine, and finds peace in his family and work. The phase resolves Levin’s spiritual search, offering a counterweight to Anna’s tragedy. |

---

Here is the complete chapter‑by‑chapter table for **Part 1** of *Anna Karenina*, based strictly on the original text you attached. Each chapter is assigned to **Phase 1** (The Oblonsky Crisis and Anna’s Arrival). Titles are short (20–30 characters). Categories follow the Effi Briest template.

---

## Part 1, Chapters 1–34

| Ch | Title | Phase | Category | Summary |
| 28 | Anna Decides to Leave | Phase 1 | Comp | After the ball, Anna tells Dolly she must leave Moscow immediately. Kitty sends a note saying she has a headache. Anna packs. She confesses to Dolly that she fears she has caused Kitty’s unhappiness, but insists she did nothing wrong. |
| 29 | Train to Petersburg | Phase 1 | Int | Anna travels back to Petersburg. She reads a novel but cannot concentrate. She feels a strange excitement and shame. At a stop, she gets out for air. |
| 30 | Vronsky Follows | Phase 1 | Turn | Anna steps onto the platform. Vronsky appears and tells her he has come to be where she is. She is both frightened and thrilled. She tells him to forget what he said, but her heart is stirred. She returns to the carriage, unable to sleep. |
| 31 | Karenin Meets Anna | Phase 1 | Comp | Anna arrives in Petersburg. Karenin meets her. She notices his ears look strange. She feels a familiar revulsion. Vronsky watches from behind. Karenin is cold and formal. Anna asks about their son Seryozha. |
| 32 | Home and Son | Phase 1 | Exp | Anna returns home. Her son Seryozha runs to her. She feels joy but also disappointment—he is not as she imagined. Countess Lidia Ivanovna visits, talking about religious charity. Anna feels the falsity of her life. |
| 33 | Evening with Karenin | Phase 1 | Comp | Karenin returns from the ministry. They dine with guests. Anna goes to the nursery, then sits reading. Karenin comes to bed. She thinks about Vronsky’s glance and feels a strange excitement. |
| 34 | Vronsky’s Petersburg | Phase 1 | Exp | Vronsky returns to his Petersburg apartment. His friend Petritsky is there with the Baroness Shilton. They joke about regimental scandals. Vronsky feels the old familiar life closing around him again. |

---

## Part 2, Chapters 1–35

| Ch | Title | Phase | Category | Summary |
|----|-------|-------|----------|---------|
| 1 | Doctors Consult | Phase 2 | Exp | A celebrated doctor examines Kitty. The princess is anxious. The doctors recommend foreign travel for her health. Kitty feels her illness is spiritual—her heart is broken from Vronsky’s rejection and Levin’s departure. |
| 2 | Dolly Visits Kitty | Phase 2 | Comp | Dolly comes to see Kitty. She is distracted by her own troubles (Stiva’s infidelities, money problems). Kitty admits she is miserable. The sisters console each other. The family decides Kitty will go abroad to a German spa. |
| 3 | Kitty’s Confession | Phase 2 | Int | Alone with Dolly, Kitty confesses she feels everything is loathsome. She thinks everyone wants to marry her off. She is ashamed of herself. She goes to stay with Dolly to nurse the children through scarlatina. |
| 4 | Anna’s Three Circles | Phase 2 | Exp | Anna moves in three social circles in Petersburg: Karenin’s official set, Countess Lidia Ivanovna’s religious‑philanthropic set, and Princess Betsy Tverskaya’s fashionable set. After Moscow, she avoids the first two and embraces the third, where she meets Vronsky. |
| 5 | Vronsky’s Anecdote | Phase 2 | Dig | Vronsky tells Betsy about reconciling a husband with two officers who insulted his wife. He is amused by the story. He leaves to meet his colonel at the French theater. |
| 6 | Betsy’s Soirée | Phase 2 | Exp | Betsy hosts a soirée. Guests gossip about Anna and Vronsky. Princess Myakaya defends Anna. Vronsky arrives. He is in good spirits. |
| 7 | Anna at the Soirée | Phase 2 | Comp | Anna enters. Vronsky gazes at her with joy and timidity. She tells him Kitty is ill. He asks what she means. She says he behaved wrongly. He declares his love. She tells him to go to Moscow and ask Kitty’s forgiveness. He refuses, saying she is his whole life. Karenin arrives. |
| 8 | Karenin’s Reflections | Phase 2 | Int | Karenin notices the party found Anna’s behavior improper. He decides to speak to her. At home, he walks up and down, trying to formulate his speech. He feels jealousy is beneath him but cannot ignore the impropriety. |
| 9 | Karenin Confronts Anna | Phase 2 | Comp | Anna comes home. Karenin warns her that her behavior with Vronsky attracted attention. Anna feigns innocence. He presses; she becomes defiant. Finally, she admits she loves Vronsky and hates Karenin. He tells her he expects strict observance of propriety. |
| 10 | A New Life Begins | Phase 2 | Int | After the confrontation, nothing changes externally. Anna goes out as before. Karenin feels helpless. Every time he tries to talk to her, she deflects him with amused perplexity. He feels like an ox awaiting the blow. |
| 11 | The Lovers’ Union | Phase 2 | Turn | Anna and Vronsky become lovers. She feels sinful, guilty, and terrified. She tells him she has nothing but him. He feels like a murderer looking at his victim. They are bound together by shame. |
| 12 | Levin’s Spring | Phase 2 | Exp | Spring comes to Pokrovskoe. Levin throws himself into farming. He plans new agricultural methods. He feels hopeful again. He rides out to see the fields and the sowing. |
| 13 | Levin Inspects | Phase 2 | Exp | Levin inspects the cattle, the ploughing, the sowing. He argues with the bailiff. He rides through the forest, dreaming of future improvements. He feels the joy of rural life. |
| 14 | Stiva’s Visit | Phase 2 | Comp | Stiva arrives unexpectedly. He has come to sell a forest. They go shooting together. Stiva tells Levin that Kitty is ill and abroad. Levin feels a rush of hope and despair. They shoot snipe. |
| 15 | Evening Shooting | Phase 2 | Dig | Levin and Stiva continue shooting. The snipe fly. Levin asks about Kitty. Stiva says she is very ill, possibly dying. Levin is shocked. They shoot together and retrieve the birds. |
| 16 | The Forest Sale | Phase 2 | Comp | On the way home, they discuss the forest sale. Levin accuses Stiva of giving the forest away too cheaply to a merchant, Ryabinin. Stiva is unconcerned. Levin is angry at the nobility’s impoverishment. |
| 17 | Levin’s Discontent | Phase 2 | Int | Levin is out of humor. He and Stiva argue about aristocracy and money. Levin admits he proposed to Kitty and was rejected. He is still wounded. They decide to go shooting again in the morning. |
| 18 | Vronsky’s Regiment | Phase 2 | Exp | Vronsky’s inner life is absorbed by his passion, but his external life follows his regimental and social ties. He is fond of the regiment and respected by his comrades. His connection with Anna is known and talked about. His mother is displeased. |
| 19 | Before the Races | Phase 2 | Exp | On the day of the races at Krasnoe Selo, Vronsky eats beefsteak in the messroom. He is thinking of Anna’s promise to see him after the races. He decides to visit her at her summer villa. He is in high spirits. |
| 20 | Vronsky’s Quarters | Phase 2 | Exp | Vronsky stays in a Finnish hut with his comrade Petritsky. Yashvin, a gambler and rake, is Vronsky’s best friend. Vronsky receives a letter from his mother reproaching him. He decides to put an end to the false position with Anna. |
| 21 | Frou‑Frou the Mare | Phase 2 | Exp | Vronsky visits the stables to see his mare Frou‑Frou, a thoroughbred English mare. He admires her beauty and spirit. The English trainer warns him to keep calm before the race. Vronsky is excited and confident. |
| 22 | Anna Waiting | Phase 2 | Comp | Vronsky drives to Anna’s summer villa. He finds her alone on the terrace. She tells him she is pregnant. He is shocked but feels the turning point has come. He urges her to leave her husband. She is afraid of losing her son. |
| 23 | The Decision | Phase 2 | Int | Vronsky tries to convince Anna to tell her husband everything and leave him. She resists, afraid of the consequences for her son. She asks him never to speak of it. They agree to meet later that night. |
| 24 | At the Races | Phase 2 | Exp | Vronsky arrives at the races. He sees Karenin in the crowd. He avoids Anna for now. He focuses on the race. The atmosphere is tense and exciting. |
| 25 | The Race Begins | Phase 2 | Comp | The steeplechase starts. Seventeen officers ride. Vronsky on Frou‑Frou is among the leaders. He clears obstacles skillfully. He is ahead of his rival Mahotin on Gladiator. |
| 26 | Vronsky Falls | Phase 2 | Turn | Approaching the last obstacle, Vronsky makes a clumsy movement. Frou‑Frou falls, breaking her back. Vronsky is unhurt but devastated. He has lost the race and killed his beloved mare. He feels utter wretchedness. |
| 27 | Karenin’s Routine | Phase 2 | Int | Karenin is busier than ever with official work. He avoids thinking about his wife’s behavior. He has not stayed overnight at their country villa. He goes to see Anna to give her money. A doctor examines him and finds his health failing. |
| 28 | Anna at the Races | Phase 2 | Comp | Anna watches the race from the pavilion. She sees Karenin nearby. When Vronsky falls, she moans aloud and behaves unbecomingly. Karenin offers her his arm to leave. She refuses, then accepts. In the carriage, she admits she loves Vronsky and hates Karenin. |
| 29 | Karenin’s Decision | Phase 2 | Int | After Anna’s confession, Karenin feels relief. He decides he will not divorce her but will keep her with him, concealing the affair, and punish her by maintaining outward propriety. He writes her a cold letter. |
| 30 | Kitty Abroad | Phase 2 | Exp | The Shtcherbatskys are at a German spa. Kitty is bored and watches other visitors. She is attracted to a Russian girl, Varenka, who is a companion to an invalid lady, Madame Stahl. Kitty feels Varenka has something she lacks. |
| 31 | Varenka’s Kindness | Phase 2 | Exp | Kitty watches Varenka helping invalids. She wants to befriend her. The princess reluctantly agrees. Kitty learns that Varenka is not related to Madame Stahl but was adopted. Varenka is simple, kind, and serene. |
| 32 | Varenka’s Story | Phase 2 | Int | Kitty learns Varenka’s past: she was adopted, had a disappointed love affair, and now lives for others. Kitty is fascinated and wants to be like her. She begins to imitate Varenka’s manner and to practice Christian charity. |
| 33 | Madame Stahl | Phase 2 | Exp | Kitty meets Madame Stahl, an invalid who never walks. She is impressed by Madame Stahl’s piety. But she notices contradictions: Madame Stahl smiles contemptuously when asked about her family and avoids the light when a Catholic priest visits. Kitty is troubled. |
| 34 | The Prince Arrives | Phase 2 | Comp | Kitty’s father, the old prince, arrives at the spa. He is skeptical of Madame Stahl and her piety. He tells Kitty that Madame Stahl’s illness is likely a pretense (she has short legs). Kitty is disillusioned. Her idealized image of Madame Stahl crumbles. |
